Subject,サービス名,SMS認証,電話番号入力,メールのみ登録可,本人確認（eKYC）,クレカ情報,ウェブ自動完結可能,登録に必要な情報,備考,情報ソースURL,Error
タイミー（Timee）,タイミー,必須,必須,,必須,不要,,携帯電話番号（SMS認証）、生年月日、氏名、フリガナ、性別、プロフィール画像、住所、本人確認書類,タイミーの登録には、SMS認証と本人確認書類の提出が必須です。そのため、ウェブだけで完結することはできず、メールアドレスのみでの登録も不可能です。,https://worker-help.timee.co.jp/hc/ja/articles/33685293405977-%E5%88%9D%E6%9C%9F%E8%A8%AD%E5%AE%9A,
シェアフル（Sharefull）,シェアフル（Sharefull）,必須,必須,,必須,不要,,メールアドレス、パスワード、氏名、性別、生年月日、住所、電話番号、経験職種、口座情報、本人確認書類、顔写真,登録はスマートフォンアプリからのみ可能で、PCやタブレットからの登録はできません。仮登録の段階でSMS認証が必須であり、本登録の段階で本人確認書類の提出（eKYC）が必須となります。,https://support.sharefull.com/hc/ja/articles/360020282613-%E3%83%80%E3%82%A6%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89%E3%81%8B%E3%82%89%E4%BB%AE%E7%99%BB%E9%8C%B2%E3%81%AE%E6%89%8B%E9%A0%86,
CoupLink（カップリンク）,CoupLink（カップリンク）,必須,必須,,不要,不要,,メールアドレス、パスワード、電話番号、公的身分証明書,会員登録自体はメールアドレスまたは電話番号で開始できますが、メッセージ機能の利用にはSMS認証が必須です。また、年齢確認のために公的身分証明書の提出が必要です。,https://support.couplink.jp/hc/ja/articles/900003527426--CoupLink%E6%96%B0%E8%A6%8F%E7%99%BB%E9%8C%B2%E6%89%8B%E9%A0%86-%E3%83%A1%E3%83%BC%E3%83%AB%E3%82%A2%E3%83%89%E3%83%AC%E3%82%B9,
タップル（tapple）,タップル（tapple）,不要,不要,,任意,不要,,LINEアカウント、Appleアカウント、Googleアカウント、または電話番号のいずれか。メッセージ交換には本人確認書類の提出が必須。,新規会員登録はアプリ版からのみ可能。ブラウザ版はログイン専用。登録方法によっては電話番号やSMS認証は不要だが、メッセージ交換など主要機能の利用には本人確認（eKYC）が必須となる。,https://support.tapple.me/hc/ja/articles/25465582278169-%E3%81%94%E7%99%BB%E9%8C%B2%E6%96%B9%E6%B3%95,
ペアーズ（Pairs）,ペアーズ（Pairs）,必須,必須,,必須,任意,,ニックネーム、性別、居住地、生年月日、メールアドレスまたは電話番号、本人確認書類,登録方法が複数あるが、いずれの方法を選択しても、メッセージ交換機能を利用するには本人確認（eKYC）が必須となる。電話番号での登録やLINEでの登録ではSMS認証が求められる。,https://deai.app-liv.jp/archive/154570/,
with（ウィズ）マッチングアプリ,with（ウィズ）マッチングアプリ,必須,必須,,必須,不要,,ニックネーム、性別、生年月日、居住地、パスワード、そしてLINE、Facebook、電話番号、Apple IDのいずれかによる認証,登録方法として、LINE、Facebook、電話番号（SMS認証）、Apple IDの4種類がある。メールアドレスのみでの登録は不可。メッセージ交換には、別途、公的証明書による本人確認（eKYC）が必須となる。,https://deai.app-liv.jp/archive/123430/,
ココナラ,ココナラ,不要,任意,True,不要,不要,True,"メールアドレス, パスワード, ユーザー名, 生年月日, 都道府県, 登録目的",会員登録自体はメールアドレスとパスワードのみで完了する。ただし、公開募集機能（依頼・提案）の利用にはSMS認証が必須となるため、実質的なサービス利用には電話番号がほぼ必須と言える。,https://coconala.com/news/889,
SKIMA,SKIMA,必須,必須,,不要,不要,,メールアドレス、パスワード、ニックネーム、電話番号,会員登録自体はメールアドレスとパスワードのみで可能ですが、メッセージの送受信や取引など、ほとんどの機能を利用するにはSMS認証が必須です。そのため、実質的には電話番号が必須となります。,https://xn--eckhu0e2b3a6i6dsh.net/how-to-member-registration-to-skima/,
タイムチケット,タイムチケット,不要,不要,True,任意,任意,True,メールアドレス、パスワード、ユーザーネーム、ユーザーID,会員登録自体はメールアドレスとパスワードのみで完了可能。ただし、チケットを販売して収益を得るためには、本人確認書類の提出が必須となる。購入のみの場合は本人確認は不要。,https://happy-shopping.tokyo/time-ticket/,
カリトケ（KARITOKE）時計レンタル,カリトケ（KARITOKE）時計レンタル,不要,必須,,必須,必須,,メールアドレス、パスワード、氏名、生年月日、電話番号、クレジットカード情報、勤務先情報、本人確認書類,無料会員登録はメールアドレスとパスワードのみで可能。レンタルサービスを利用するには、追加で個人情報、クレジットカード情報、本人確認書類の提出、および電話での本人確認が必要。SMS認証はないが、電話での確認が必須のためウェブ上での自動登録は完結しない。,https://subsc-style.jp/karitoke-shinsa/,
airCloset（エアークローゼット）服レンタル,airCloset（エアークローゼット）服レンタル,不要,必須,,不要,必須,True,メールアドレス、パスワード、氏名、生年月日、電話番号、住所、支払い情報（クレジットカードまたは後払い）,無料会員登録はメールアドレスとパスワードのみで可能。ただし、洋服のレンタルサービスを利用するには、月額会員登録が必要となり、その際に電話番号やクレジットカード情報などの入力が必須となる。SMS認証は不要。,https://fukuhera.com/aircloset-registration/,
メチャカリ（MECHAKARI）服レンタル,メチャカリ（MECHAKARI）服レンタル,不明,不明,,不要,必須,,メールアドレス、パスワード、氏名、住所、クレジットカード情報,会員登録は専用アプリからのみ可能。支払い方法はクレジットカード決済のみ。SMS認証および電話番号入力の要否については、公開情報からは確認できなかった。,https://www.nami-nooto.com/mechakari-start/,
チャットレディ求人（ポケットワーク等）,チャットレディ求人（ポケットワーク）,不明,必須,,必須,不要,,フルネーム（漢字、カタカナ）、電話番号、都道府県、生年月日、メールアドレス、連絡可能時間、身分証明書、顔写真,在宅チャットレディの場合、応募後にメールで身分証と顔写真のアップロードが必要です。電話番号の入力は必須ですが、SMS認証の有無は不明です。,https://chatprincess.hatenablog.com/entry/2018/03/07/%E3%83%9D%E3%82%B1%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF%E3%81%AE%E5%BF%9C%E5%8B%9F%E6%96%B9%E6%B3%95%E3%82%92%E5%AE%8C%E5%85%A8%E5%9B%B3%E8%A7%A3%E3%81%A7%E8%A9%B3%E7%B4%B0%E8%A7%A3,
ライブ配信事務所（321inc等）,ライブ配信事務所（321inc）,不要,不要,,不要,不要,,"LINEアカウント, 氏名, 住所, 生年月日, 口座情報",登録にはLINE公式アカウントへの登録と、その後の担当者との面談が必須です。Web上で完結する登録フローではありません。,https://321.inc/howto,
Pococha（ポコチャ）,Pococha（ポコチャ）,必須,必須,,不要,不要,,SNSアカウント、電話番号,新規登録はアプリから行い、各種SNSアカウント（X、LINE、Google、Facebook、Apple）と連携して登録します。視聴だけであれば最初はSMS認証は不要ですが、一定時間の視聴や各種機能の利用、報酬の受け取りにはSMS認証が必須となります。本人確認（eKYC）は、配信で得たダイヤを換金する際に必要となり、登録時には不要です。,https://pococha-jp.pococha.com/hc/ja/articles/33052895901849-SMS%E8%AA%8D%E8%A8%BC,
SHEIN,SHEIN,不要,任意,True,不要,不要,True,メールアドレスまたは電話番号、パスワード,メールアドレスで登録する場合、メールでの認証が必要です。電話番号で登録する場合はSMS認証が必須です。商品購入時には、別途、氏名、住所、電話番号の登録が必要です。,https://www.kakuyasu-import.com/how-to-shop-safely-at-shein/,
Qoo10,Qoo10,必須,必須,,不要,不要,,メールアドレス、氏名、パスワード、電話番号,会員登録には、メールアドレス、氏名、パスワードの入力に加え、電話番号によるSMS認証が必須です。Facebook、Google、LINE、Appleのアカウントを利用したSNS連携登録も可能です。,https://www.qoo10.jp/gmkt.inc/Member/RegisterMember.aspx,
GRL（グレイル）,GRL（グレイル）,不明,必須,,不要,不要,,氏名、フリガナ、性別、生年月日、住所、電話番号、メールアドレス、パスワード,会員登録は、まずメールアドレスを仮登録し、受信したメール内のリンクから本登録に進むフローです。電話番号の入力は必須ですが、SMS認証の有無は確認できませんでした。,https://finding-myself.hatenablog.com/entry/2021/04/03/191535,
バンドルカード（VANDLE CARD）,バンドルカード,必須,必須,,任意,不要,,"電話番号, パスワード, ユーザーID, 生年月日, 性別",バーチャルカードの登録はアプリから行い、電話番号とSMS認証が必須です。物理カードである「リアルカード」の発行は任意で、本人確認が不要な「リアル」と、必要な「リアル＋」の2種類があります。,https://support.vandle.jp/hc/ja/articles/227286968-%E3%81%A9%E3%81%86%E3%82%84%E3%81%A3%E3%81%A6%E7%99%BB%E9%8C%B2%E3%81%99%E3%82%8B%E3%81%AE,
電話占いヴェルニ,電話占いヴェルニ,必須,必須,,不要,不要,,氏名、生年月日、暗証番号、性別、メールアドレス、電話番号,会員登録にはSMS認証が必須のため、電話番号の登録が必須です。メールアドレスのみでの登録はできません。,https://vernis.co.jp/guide_reg_pc.php,
U-NEXT,U-NEXT,不要,必須,,不要,不要,True,氏名（カナ）、生年月日、性別、メールアドレス、パスワード、電話番号、決済情報,無料トライアルの登録には、クレジットカード、キャリア決済、楽天ペイのいずれかの決済情報登録が必須です。電話番号の入力は必須ですが、新規登録フローにおいてSMS認証は確認されませんでした。,https://appllio.com/unext-registration,
ハッピーメール,ハッピーメール,必須,必須,,任意,不要,,電話番号、パスワード、生年月日,Web版での登録には電話番号とSMS認証が必須です。アプリ版は登録のみであれば電話番号は不要ですが、メッセージ機能を利用するには電話番号の登録と年齢確認が必須となります。年齢確認は本人確認書類の提出が必要です。,https://www.pair-full.jp/column/happymailtouroku,
ワクワクメール,ワクワクメール,必須,必須,,必須,不要,,電話番号、プロフィール情報（ニックネーム、性別、地域、生年月日など）、年齢確認書類,登録時に電話番号認証が必須です。これは二重登録を防止するための措置です。また、メッセージのやり取りを開始する前に、運転免許証や保険証などの書類提出による年齢確認が必須となります。セルフィー認証も導入されています。クレジットカード情報の入力は、ポイントを購入する場合に任意で必要となりますが、登録自体に必須ではありません。,https://www.pair-full.jp/column/wakuwakutouroku,
ペイターズ（paters）,ペイターズ（paters）,必須,必須,,任意,不要,,生年月日、性別、ニックネーム、居住地、電話番号、パスワード,女性は完全無料。男性がメッセージ機能を利用する場合は有料会員になる必要があり、その際の決済方法としてクレジットカードが利用可能。メッセージのやり取りには年齢確認（eKYC）が必須となる。,https://www.paters.tokyo/registration/,
Coincheck（コインチェック）仮想通貨取引所,Coincheck（コインチェック）仮想通貨取引所,必須,必須,,必須,不要,,メールアドレス、パスワード、電話番号（SMS認証）、本人確認書類（運転免許証、マイナンバーカードなど）,会員登録自体はメールアドレスとパスワードで可能ですが、取引を開始するにはSMS認証とeKYCによる本人確認が必須となります。,https://cc.minkabu.jp/column/1011,
bitFlyer（ビットフライヤー）仮想通貨取引所,bitFlyer（ビットフライヤー）,不要,任意,,必須,不要,,"メールアドレス, パスワード, 二段階認証設定, 本人情報（氏名、性別、生年月日、住所等）, 本人確認資料, 銀行口座情報",アカウント作成自体はメールアドレスとパスワード、二段階認証（メールも可）で可能ですが、取引や出金など主要機能の利用には本人確認（eKYC）と銀行口座の登録が必須です。SMS認証は二段階認証の一つの選択肢であり、必須ではありません。,https://bitflyer.com/ja-jp/s/how-to-start,
A8.net セルフバック案件全般,A8.net セルフバック案件全般,不要,必須,,不要,不要,True,メールアドレス、パスワード、氏名、住所、電話番号、生年月日、性別、サイト情報（サイト名、URL、カテゴリなど）、口座情報,会員登録時に電話番号の入力は必須ですが、SMS認証は不要です。サイトを持っていない場合は、ファンブログという無料ブログサービスに同時登録することでA8.netに登録できます。,https://toyosta20.jp/?p=31,
ビズリーチ（転職サイト）,ビズリーチ,不要,必須,,不要,不要,,メールアドレス、パスワード、氏名、生年月日、性別、居住地、電話番号、最終学歴、職務経歴、現在の年収など,メールアドレスで登録する場合、メールでの認証コード入力が必要です。SNSアカウントで登録する場合は認証コードの入力は不要です。登録後に職務経歴書などの詳細な情報を入力し、審査に通過する必要があります。,https://jobseek.ne.jp/bizreach/bizreach_touroku/,
レアジョブ英会話,レアジョブ英会話,不要,不要,True,不要,不要,True,ニックネーム、メールアドレス、パスワード、性別、生年月日、英語学習の目的、現在の英語レベル、TOEICスコア,無料会員登録はメールアドレスとパスワードのみで可能。クレジットカードの登録は不要で、自動で有料会員に移行することはない。無料体験レッスンを受講するために、追加でプロフィール情報の入力が必要。,https://www.eikaiwa-school-selection.com/rarejob-how-to/,
モッピー（ポイントサイト）,モッピー,不要,必須,True,不要,不要,True,メールアドレス、パスワード、ニックネーム、秘密の質問・答え,会員登録自体はメールアドレスとパスワード（及びニックネーム等）で完了しますが、貯めたポイントを交換する際には、電話番号を利用した発信認証が必須となります。,https://point.nagoweb.co.jp/column/moppy-ninshou/,
